Tweet,Message,Match,Polarity
250,"My bestfriend crossed at Troy University this weekend, so I thought yall should see a snippet of their probate. Rhoyal Reign",NA,Neutral
251,Blessed to receive an offer from Ferris State University,NA,Neutral
252,Beyond blessed and grateful to receive an opportunity to Further my education and football career at Shippensburg Universi,grateful,Positive
253,@AhmedBaba_ No. They should go to Trump University...,NA,Neutral
254,Harvard Universitys denial of tenure to the only Latina professor on track for the status sparks student protests and calls f,"fall,denial,protests",Negative
255,"Gracias a los compas de @lasantacecilia for educating the youngsters at @csuf #musicEducation #CSUF #LaSantaCecilia @ California State University, Fullerton",NA,Neutral
256,"Stanford, Harvard, and University of North Carolina not looking so good today... #ImpeachmentInquiry",good,Positive
257,@KevinMKruse I applied to Trump University School of Law. Waiting to hear!,NA,Neutral
258,Send them to Trump University?,NA,Neutral
259,Blessed to receive an official offer to the University of the Cumberlands. Thank you @CoachBrightUC and @UCPatriotFball for,NA,Neutral
260,"Wow is #PamelaKarlan a bitter angry woman....and she is prostituting herself in front of her students, her university and th","bitter,angry",Negative
261,Last year I went on 5 holidays and next year I plan on going on 10 I afforded it all on a part time wage whilst still on uni,NA,Neutral
262,Excited to announce Ive received my 2nd offer from Aurora University! #GoSpartans,NA,Neutral
263,"Blessed to receive an offer from the University of the Cumberlands, thank you for the opportunity @CoachBrightUC @JCFB_Re",thank,Positive
264,Proud of @psanders_23 and all his accomplishments!! Today was a special day as he signed his NLI to play for Midwe,NA,Neutral
265,"My bestfriend crossed at Troy University this weekend, so I thought yall should see a snippet of their probate. Rhoyal Reign",NA,Neutral
266,"Really excited to be invited to speak to students at Yale University this weekend. Service, Leadership....What will you",excited,Positive
267,"WTF was that? Prof. Pamela S. Kartan flipped her cork. Totally OFF POINT, irresponsible, and improper to interject someone's child (who has NOTHING to do with anything IMPEACHMENT) into impeachment proceedings. THIS IS WHAT IS WRONG WITH OUR UNIVERSITY SYSTEM -",improper,Negative
268,"Stanford, Harvard, and University of North Carolina not looking so good today... #ImpeachmentInquiry",good,Positive
269,Hello Harvard! You mean to say your $40 Billion endowment doesnt cover a decent workplace for student workers?I stand wi,decent,Positive
270,Blessed to receive an offer from Kentucky Christian University #GoKnights,NA,Neutral
271,@USATODAY The lunatic left is despicable!Corrupt Democrats sink to another new low. Why the heck is ultra left liberal BIAS,"lunatic,sink,heck",Negative
272,@WestWingReport As he totes his Trump University certificate of stupidity,stupidity,Negative
273,"When I emigrated from Soviet Union to the West in 1998, I was enormously proud to get into the top University: Cambridge.","proud,top",Positive
274,@cspan I used to think that Stanford was a well qualified University. After watching Karland I have changed my opinion. Sh,"well,qualified",Positive
275,Fun fact: Queen performed its first U.S. concert in Denver at Regis University in 1974,NA,Neutral
276,"Dear Hindus, Don't get surprised. After Jihad Naxal Uloom (JNU), Dawood University (DU) under the nose of the so-call",NA,Neutral
277,Senate Confirms 49-44 Pro-Life Trump Nominee Sarah Pitlyk as Federal Judge: Pitlyk served as law clerk to Judge Brett Kavanaugh,NA,Neutral
278,"Fucking amazing story from @rosalindzadams, who spent weeks on the ground in the chaos of Hong Kong's protests: Heres The Full S",NA,Neutral
279,#AGTG I am very blessed to say that I have received an offer from The University of Southern California #FightOn,NA,Neutral
280,After a great talk with @CoachZCarney Im stocked to announce that Ive received my first Division 1 football offer from Val,"amazing,great",Positive
281,Check out Purdue University Boilermakers Blue Sweatshirt Briar Creek XXL #BriarCreek #Sweatshirt via @eBay,NA,Neutral
282,"Alexander Cambitoglou, First Greek University Professor in Australia, Dies at 97 | Greek Reporter Australia",NA,Neutral
283,Blessed to receive an offer to West Virginia State University,NA,Neutral
284,"We are excited to announce that Alison Willman has been accepted to Bellarmine University! Congratulations, Alison! @b",excited,Positive
285,"Tonight I am teaching Marketing 571 at the University of Phoenix. In Workshop 5, we cover advertising. Students will create",NA,Neutral
286,Big shout out to @xav1erharr1s on his commitment to University Of Montana. @GrizCoachGreen @MontanaGrizFB You guys are gett,commitment,Positive
287,I was hazed by Minister Stephen Lecce while I was pledging Sigma Chi at Western University and he was not only fraternity,NA,Neutral
288,.@FAMUAthletics AD Kortne Gosha discusses plans to fix the department's finances,NA,Neutral
289,Members of the 1920 Gallaudet University football team. The first college for the deaf is credited with inventing the,"chaos,deaf",Negative
290,If anyone would like to call George Washington University and ask for Jonathan Turley termination call 202-994-1010 and,like,Positive
291,Did you know University Education is free in: Brazil Czech Republic Finland France Germany Greece Iceland Luxembourg Norway,free,Positive
292,"You finished University or u be nurse so u wan marry unemployed graduate wey still dey live plus e parents sake of love. Eeeei my sister, better go for som hardworking trotro driver ooo .",NA,Neutral
293,"JMU Nation, It has been an awesome ride playing and representing for this University! I have been fortunate these past","better,awesome,fortunate",Positive
294,"wait- this decade is gonna be the decade we graduate university, buy a house, get a full-time job, have kids and get marr",NA,Neutral
295,After a great talk with coach Olsen I would like to say that I received a offer from McNeese State University #AGTG #DBH,"great,like",Positive
296,Blessed to receive an offer from the university of Kentucky @MarshallMcDuf14 @Rivalsfbcamps @CoachP_SCA @BigCountyPrep,NA,Neutral
297,Blessed to receive an offer from Harvard University!! #TTP @Coach_Joel_Lamb @TheCoachHo @HarvardFootball,NA,Neutral
298,"In time past, we were In time future, we shall be Throughout the ages, we h",NA,Neutral
299,Blessed to have EARNED my FIRST DIVISION ONE SCHOLARSHIP from MOREHEAD STATE UNIVERSITY AGTA @CoachBrins @JU,NA,Neutral
300,@afualareine Oh this is personal I graduated from University My Grandma(bestfriend) died Started a career job In real esta,"unemployed,died",Negative
301,"@JWVerret Mr Verret.. Legal Scholar Im impressed.. I gather you have inside first hand knowledge of the call. Please feel free to share it.. Or, are you just the typical University ? that cant see past his own inbred bias towards the president .Opinions are fine but I prefer facts...","free,fine,prefer",Positive
302,@mkraju @JohnJHarwood Go to Trump University instead!! hahahahaha,NA,Neutral
303,Senate Confirms 49-44 Pro-Life Trump Nominee Sarah Pitlyk as Federal Judge: Pitlyk served as law clerk to Judge Brett Kavanaugh,NA,Neutral
304,We want Delhi University to be among the top in the world. With Ad-hoc-ism? #Delhi #University #Teachers #teachersstrike #highered #HigherEducation #DUTA,top,Positive
305,"My bestfriend crossed at Troy University this weekend, so I thought yall should see a snippet of their probate. Rhoyal Reign",NA,Neutral
306,.@IEDCDubai signs cooperation agreement with the Islamic Economics Institute at King Abdul Aziz University in Saudi Ara,NA,Neutral
307,"Around 180,000 German citizens emigrate every year, while another 130,000 return. About 76% of emigrants have a university degr",NA,Neutral
308,"Bulldog Nation is extremely proud to announce that our AVID tutor, Xavier, will be graduating from the University of Houston with a Bachelors degree in Psychology!!! Thanks for being a positive role model for our students! #GoCoogs #Proud2BeCVISD","proud,positive",Positive
309,"Stanford University law professor Pamela Karlan said she felt ""insulted"" when Doug Collins (R-Ga.), a top Trump defender, que",top,Positive
310,"2020 NFL Draft Prospect Interview: Maurice Wright Jr., LB, Northwestern Oklahoma State University",NA,Neutral
311,Senate Confirms 49-44 Pro-Life Trump Nominee Sarah Pitlyk as Federal Judge: Pitlyk served as law clerk to Judge Brett Kavanaugh,NA,Neutral
312,seungseok au where seungyoun and wooseoktwo aspiring lawyers are well known for being the university's tom &amp; jerry. littl,well,Positive
313,# I guess she studied at a university in the UK. Don't you have good universities in your useless one-Ni,NA,Neutral
314,"@RiegerReport Better to run a fake university to scam people out of money, I suppose","bias,useless,fake,scam",Negative
315,"When you thought that Rat ate your last N1000 but no, it was just your University certificate.",NA,Neutral
316,"Wow is #PamelaKarlan a bitter angry woman....and she is prostituting herself in front of her students, her university and th","bitter,angry",Negative
317,@letsberealppl2 Honestly... SO THANKFUL to BAYLOR UNIVERSITY ... My son is a thriving young man... who developed A TRUE CHRISTIAN CORE... &amp; THAT is what MATTERS the MOST,"good,thriving",Positive
318,"@USC_mikebohn WOW. What fired up responses. As a UC season ticket holder (sorry to troll), when Huggins left...I told the Athletic Department that I was a season ticket holder of UC not the University of Huggins. Coaches come and go...support the school !! Give @USC_mikebohn a chance.",NA,Neutral
319,I'm very excited to announce that I'll be starting in Fall 2020 as an assistant professor in the University of Illinois Urbana-Champaign Astronomy department! I'm looking forward to moving back to IL and for the new opportunities at UIUC!,excited,Positive
320,Excited to announce that I have received an offer from Texas State University!,NA,Neutral
321,Harvard Universitys denial of tenure to the only Latina professor on track for the status sparks student protests and calls f,"denial,protests",Negative
322,"@pfranklin51 @GMofCFB Actually, there has to be a reason for schools to rescind a scholarship. Usually it's because you didn't represent the university well or because you've been injured way too long to keep them on one (typically a coaches decision) or grades. There was a lot when I signed",well,Positive
323,@mkraju ....but they can go to Trump University.,NA,Neutral
324,"Thankful for this opportunity to get a free education, play football and provide for my family. ALL the hardwork &amp; dedi",free,Positive
325,Congratulations to Cole Davis for signing his letter of intent to further his academic and golf career at the Universi,NA,Neutral
326,"Tonight I am teaching Marketing 571 at the University of Phoenix. In Workshop 5, we cover advertising. Students will create",NA,Neutral
327,Blessed to receive an offer from West Virginia Wesleyan University #JUCOPRODUCT @DRRJuCoProspect @JuCoFootballACE,NA,Neutral
328,Harvard Universitys denial of tenure to the only Latina professor on track for the status sparks student protests and calls f,"denial,protests",Negative
329,The @MT_Baseball schedule poster is FRESH!! Season is 72 days away! @MTAthletics Get your season tickets @MT_tix !,NA,Neutral
330,I will be signing December 18th to the University of Houston #GoCoogs,NA,Neutral
331,Senate Confirms 49-44 Pro-Life Trump Nominee Sarah Pitlyk as Federal Judge: Pitlyk served as law clerk to Judge Brett Kavanaugh,NA,Neutral
332,I've chatted with enough MAGAt's to know that this is not a big thing that they need to worry about. I doubt most of them could get into trump University.,NA,Neutral
333,Harvard Universitys denial of tenure to the only Latina professor on track for the status sparks student protests and calls f,"worry,doubt,denial,protests",Negative
334,Witnesses for Wednesday House Judiciary impeachment hearing: Noah Feldman,NA,Neutral
335,The 2nd Japanese University To Run An XRPL Validator has gone live! Welcome to the University of Tokyo #xrp @OneHanSolo @Dan,NA,Neutral
336,"As @UWMadison falls behind its peers as a research institution, former @WARF_News Managing Director Carl Gulbrandsen di",falls,Negative
337,Extremely BLESSED to receive my first FBS offer from Bowling Green State University!!!! #FAMILY @BG_Football @Lo,NA,Neutral
338,"What this means, says Fortier, is that the role of the university is changing, expanding. Universities needs to help Canadian",NA,Neutral
339,There's widespread flooding across San Diego as a powerful burst of showers hit the region -- including along the Universi,"enough,trump,powerful",Positive
340,"49 years ago, the Eta Psi Chapter of Delta Sigma Theta Sorority, Inc was chartered on the campus of Lamar University. Happy",NA,Neutral
341,.@FAMUAthletics AD Kortne Gosha discusses plans to fix the department's finances,NA,Neutral
342,@stikwithrik @washingtonpost You got nothing so you keep repeating yourself. I already gave you trump charity don't forget trump university.,"trump,trump",Positive
343,"Light On at Seminary Hall 2019 Thank you to Robyn Pursley, The College of Liberal Arts, Department of Drama, Miss NSU",NA,Neutral
344,I'm seeking an internship in esports this summer. I'm a third year student at university and am eager to work hard. Please email me at sn789808@dal.ca if you know of any opportunities.,"eager,work",Positive
345,This woman is a deranged idiot who has no business being a professor to impressionable young minds at such a 'prestigious',idiot,Negative
346,"2020 NFL Draft Prospect Interview: Tajik Bagley, DB, Central Connecticut State University #NFL #",NA,Neutral
347,Call for submissions for the 2020 Southeast Asian American Studies Conference at San Jose State University. Submission,NA,Neutral
348,Official offer from Grandview University #JUCOPRODUCT,NA,Neutral
349,More than 150 students withdrew from a talk by former US Ambassador to Israel Daniel Kurtzers talk at the American Univers,NA,Neutral
350,"Really excited to be invited to speak to students at Yale University this weekend. Service, Leadership....What will you",excited,Positive
351,"Dr Bob Sears at #Vaccine Injury Event at the Capitol, #WashingtonDC. Dr Sears learnt through his practice that what he was t",NA,Neutral
352,"Juliana Chan, Professor of Medicine and Therapeutics, Faculty of Medicine at The Chinese University of Hong Kong, on th",NA,Neutral
353,"@BillKristol If I was a law student at George Washington University, I would transfer to another school.",NA,Neutral
354,"@USATODAY Ones a constitutional law professor from Stanford and the other is a third rate East European ex-model who claims to have graduated from a university that doesnt exist, posed nude and slept her way to a higher and higher social status.",NA,Neutral
355,"[NCAAM] Boston University is leading George Washington 35 to 28, HALF.",leading,Positive
356,Blessed Offer #6 Concordia university chicago @1coachp @CoachWatkinsCUC @ShadesValleyFB,NA,Neutral
357,Harvard Universitys denial of tenure to the only Latina professor on track for the status sparks student protests and calls f,"denial,protests",Negative
358,"""We are living in the very period described by Alexander Hamilton. A period of agitated passions...That is why this is wro",NA,Neutral
359,ADMISSION INTO PHILIPPINE UNIVERSITIES. Ever tired of disappointment of getting into university in nigeria? Ever tired o,"tired,disappointment,tired",Negative
360,@mkraju @medit8now When Mr. Gohmert needs a lawyer I'm sure he'll look for a graduate from tRump University.,NA,Neutral
361,"Tonight I am teaching Marketing 571 at the University of Phoenix. In Workshop 5, we cover advertising. Students will create",NA,Neutral
362,Blessed to receive an official offer from Grand View University !! @CoachSWalters @awoodley,NA,Neutral
363,@ShaiDeLuca None of this means that antisemitism isnt happening on campus. It means its not *endemic* to university campuses like how its talked about.,like,Positive
364,I am Very BLESSED to say I have received an offer from The University of Southern Mississippi @coachcbuckner @G_Pai,NA,Neutral
365,"@USC_mikebohn If you're cool with mediocrity, then you saved me a lot of stress of worrying about this team being an elite program again. Hope it's worth the university saving $$$ on Helton's buyout for all the money they're going to lose with an apathetic fanbase to match the apathetic admin.","stress,worrying,lose,apathetic,apathetic",Negative
366,Every day...Every damn day..#StopTheMadness #OneVoice1 Active Shooter Reported Jackson State University On Lockdown Wednesday,damn,Negative
367,Former Cyclone Jordyn Keck will continue her basketball career at Colorado State University-Pueblo,NA,Neutral
368,"Yesterday, I sent a letter to FL university presidents requesting info on the steps taken to safeguard Americans tech &amp;",NA,Neutral
369,Blessed to receive a PWO from Furman University!! @Coach_Lane8 @coachmiller2525 @gwquarles @ShaedonMeadors @coach_ashmore @,NA,Neutral
370,Lighting of the Commons @ Oklahoma Christian University,NA,Neutral
371,"My bestfriend crossed at Troy University this weekend, so I thought yall should see a snippet of their probate. Rhoyal Reign",NA,Neutral
372,Blessed to have received an offer from University Of Illinois Springfield!,NA,Neutral
373,I am beyond blessed and honored to announce I am committing to play baseball at the University of Arkansas-Little Rock. Thank,"cool,elite,worth,honored",Positive
374,Did you know University Education is free in: Brazil Czech Republic Finland France Germany Greece Iceland Luxembourg Norway,free,Positive
375,Harvard Universitys denial of tenure to the only Latina professor on track for the status sparks student protests and calls f,"denial,protests",Negative
376,Yesterday's sexual violence town hall came after significant criticism on Universitys handling of sexual violence on campus,NA,Neutral
377,"- @MargRiosFarjat ""She was born in Monterrey, Nuevo Le Rwas a Professor in Tax Law. She earned her Ph.D. in public policy from the Autonomous University of Nuevo Le In the past, she has worked in editorialist on economic issues in the Newspaper El Norte.""",NA,Neutral
378,14-year-old D.C. student starts his first day at George Washington University,NA,Neutral
379,Racist University Employee Told Minority Students to Avoid Bringing White People Into Dorms,NA,Neutral
380,Beyond thankful for the opportunity to play at the University of Colorado Boulder. Thank you @ReedHeim. #Relentless #Sk,"significant,worked,thankful",Positive
381,Blessed to receive an offer from St. Andrews University!! @YorkRecruits @Coach_AjHopke @YorkCougars,NA,Neutral
382,Blessed To Receive A Offer From University Of Tennesese Martin @coach_mac98 @CuttemUp #UTM2020,NA,Neutral
383,@StanfordLaw and @Stanford support their professors to slam the Presidents 13 year old son to prove her hate for the President,NA,Neutral
384,@JohnJHarwood What school gets credit for Gohmerts education? Is he a Trump university graduate?,NA,Neutral
385,After a great talk with @CoachBrightUC Im very blessed to receive an offer from University of the Cumberlands @CSmithScou,"support,great",Positive
386,I have a weird fetish of driving thru college campuses. Anytime I go to a new city I wanna find out where their biggest university is and go see it,"criticism,issues,hate,weird",Negative
387,"Some stress in early life extends lifespan -- ScienceDaily Some stress at a young age could actually lead to a longer life, new research shows. University of Michigan researchers have...","stress,stress",Negative
388,Oxford Yellow Jackets (13-1) vs. Spanish Fort Toros (9-5) Friday December 6th 7 p.m. CST Auburn University Jordan,NA,Neutral
389,"JMU Nation, It has been an awesome ride playing and representing for this University! I have been fortunate these past","lead,awesome,fortunate",Positive
390,"@bbcnickrobinson To paraphrase Noam Chomsky, if Nick Robinson hadn't been President of the Oxford University Conservative Association, he wouldn't be presenting #r4today. The establishment bias is built into the system.",bias,Negative
391,Members of the 1920 Gallaudet University football team. The first college for the deaf is credited with inventing the,deaf,Negative
392,Harvard Universitys denial of tenure to the only Latina professor on track for the status sparks student protests and calls f,"denial,protests",Negative
393,"@TimRichardsTN @clayphillips27 @VandyAD This could also read, that ADMT has all the tools to make him understand how great athletics can be for a university, since hes never been around it. He doesnt necessarily think athletics are bad just is accustomed to them being around. Hence, why ADMT will be able to do what..",NA,Neutral
394,Hello Harvard! You mean to say your $40 Billion endowment doesnt cover a decent workplace for student workers?I stand wi,"great,decent",Positive
395,Rwanda is building its own Silicon Valley in partnership with Carnegie Mellon University. It is called Kigali Innovati,NA,Neutral
396,"An university student just end his life in Hungary, because of bad grades from the tests. I think he felt his situation hopeless, that's why he did it. I'm feel sorry for him, and don't forget, life will continue, even if you have bad grades or you can't do it. Rest in peace.","bad,bad,sorry,bad",Negative
397,Special Thanks to Coach McMenamin from East Stroudsburg University for stopping by VHS! @franmc_73,NA,Neutral
398,@KevinMKruse I guess they think Trump University is the bees knees....,NA,Neutral
399,We're delighted to hear @Columbia University is offering a scholarship for refugees and displaced people. Only 3% of the wor,NA,Neutral
400,If anyone would like to call George Washington University and ask for Jonathan Turley termination call 202-994-1010 and,"delighted,like",Positive
401,"Do I have any Canadian friends on here? If so, check this thread on the upper class British antisemitic conspiracy the","displaced,conspiracy",Negative
402,Blessed &amp; Excited to receive my 1st offer from Jacksonville State University #StayCocky @CoachKSigler @JSUGamecocksFB,NA,Neutral
403,Senate Confirms 49-44 Pro-Life Trump Nominee Sarah Pitlyk as Federal Judge: Pitlyk served as law clerk to Judge Brett Kavanaugh,NA,Neutral
404,If anyone would like to call George Washington University and ask for Jonathan Turley termination call 202-994-1010 and,like,Positive
405,"Yes, because who wants to attend a world-class university?",NA,Neutral
406,Community college is the move. Take the first 2 years of classes for a lot cheaper or even free compared to a university ht,"cheaper,free",Positive
407,Congratulations to Norths Caitlin Corso as she committed today to run track and cross country at Eastern Illinois Universi,NA,Neutral
408,"""Gut public subsidy &amp; the elite colleges &amp; universities where much of the trouble happens will probably be fine. But the stat",NA,Neutral
409,Senate Confirms 49-44 Pro-Life Trump Nominee Sarah Pitlyk as Federal Judge: Pitlyk served as law clerk to Judge Brett Kavanaugh,NA,Neutral
410,Extremely blessed to receive a PWO from East Tennessee State University!,NA,Neutral
411,#AGTG I am very blessed to say that I have received an offer from The University of Southern California #FightOn,NA,Neutral
412,"split model attraction is NOT a thing and is highly problematic, Tumblr University lied to yall","trouble,split,lied",Negative
413,Blessed to receive an offer from Lyon University @CoachKent41,NA,Neutral
414,"In fact, I am the College of Friendship; The University of Brotherly Love; The School for the Better Making of Men. I AM ALPH",NA,Neutral
415,Last year I went on 5 holidays and next year I plan on going on 10 I afforded it all on a part time wage whilst still on uni,NA,Neutral
416,14-year-old D.C. student starts his first day at George Washington University,NA,Neutral
417,"4 years in university and I've seen people crying in washrooms, library, sports complex &amp; every other corner of that place. University is cruel. The snake culture, sick teachers, family problems, gpa &amp; anxiety for future take away all of ur charm &amp; kill your will to live. Sad.","complex,sick,anxiety,kill",Negative
418,"When I emigrated from Soviet Union to the West in 1998, I was enormously proud to get into the top University: Cambridge.","elite,attraction,charm,proud,top",Positive
419,After a great talk with @Coach_AjHopke I am blessed to say Ive received my second offer from St. Andrews University!! @H,great,Positive
420,After a great talk with @Coach68Hinojos I am blessed to receive my first official offer from Wayland Baptist university,great,Positive
421,"After a great talk with @KU_EJones , Im blessed to say that Ive received my second POWER 5 offer from the University",great,Positive
422,It was a lot of hard work but well worth it. The hard work certainly paid off for Joshua as his grades were amongst th,"work,well,worth,work",Positive
423,Senate Confirms 49-44 Pro-Life Trump Nominee Sarah Pitlyk as Federal Judge: Pitlyk served as law clerk to Judge Brett Kavanaugh,NA,Neutral
424,"Blessed to receive an offer from the University of the Cumberlands, thank you for the opportunity @CoachBrightUC @JCFB_Recruiting @AL7AFootball",thank,Positive
425,"A #Peking University Photo Album: #snow-covered ground, trees, buildings, and sculptures. Snow creates such a magical effect,",magical,Positive
426,"During the Popeyes chicken craze discourse so many ppl incorrectly said blk ppl dont patronize blk businesses similarly, whi","hard,hard,craze,incorrectly,patronize",Negative
427,"2020 NFL Draft Prospect Interview: Tajik Bagley, DB, Central Connecticut State University #NFL #",NA,Neutral
428,"WATCH: ""If what we are talking about is not impeachable, then nothing is impeachable,"" Michael Gerhardt, a University of Nort",NA,Neutral
429,"My mom told me that she payed a total of $2,500 for her masters degree from Auburn University in 1986. Then she said, I pa",masters,Positive
430,Our signature list has more than doubled in 24 hours! The chorus of voices advocating for @Lane_Kiffin to be our next hea,NA,Neutral
431,I am THRILLED to announce I will be graduating with a Bachelors of Arts in Music from the University of Southern Mississipp,NA,Neutral
432,Huge thanks to @KU_EJones and Kansas University for my first football offer!,NA,Neutral
433,Thankful to receive an offer to play football at Valparaiso University @Coach__Robinson @valpoufootball,NA,Neutral
434,Huntington University Announces Strauss Animal Center:,NA,Neutral
435,Rwanda is building its own Silicon Valley in partnership with Carnegie Mellon University. It is called Kigali Innovati,NA,Neutral
436,@RiegerReport Thats stupid cause its hard to get in I would be Proud for my children to be at Harvard University,"stupid,hard",Negative
437,"Tonight I am teaching Marketing 571 at the University of Phoenix. In Workshop 5, we cover advertising. Students will create",NA,Neutral
438,Blessed to receive an offer from Louisiana Tech University! @CoachBlakeBryan @TVCCFOOTBALL @CoachBGamble @JuCoFootballACE,NA,Neutral
439,"Oseola McCarty worked all her life cleaning other women's houses. She lived very frugally, and from her savings, donat",worked,Positive
440,"Stanford, Harvard, and University of North Carolina not looking so good today... #ImpeachmentInquiry",good,Positive
441,If anyone would like to call George Washington University and ask for Jonathan Turley termination call 202-994-1010 and,like,Positive
442,"Melody Wilson, President of the University Staff Advisory Council (USAC), welcoming and thanking attendees at the USAC 20th Anniversary Celebration. @ University of Richmond",NA,Neutral
443,Professor Colleen Murrell presents the current crisis in journalism on the #jeraa2019 at the University of Sydney,crisis,Negative
444,"Yes, because who wants to attend a world-class university?",NA,Neutral
445,"Stanford, Harvard, and University of North Carolina not looking so good today... #ImpeachmentInquiry",good,Positive
446,Founders day mood from Knuck University also known as @ThetaMuAlphas PS: That young man with the slow-mo live,NA,Neutral
447,NUMBERS. There are 125 FCS teams nationwide. There are only 16 teams still in the playoffs. There is only 1 private scho,NA,Neutral
448,I was hazed by Minister Stephen Lecce while I was pledging Sigma Chi at Western University and he was not only fraternity,NA,Neutral
449,An interesting insight we gain through a detailed perusal of Vamiki Ramayana: Different types of aircrafts were in u,"interesting,gain",Positive
450,"1. running from the facts to point out grammar = hilarious 2. I don't represent this country, sadly Trump does 3. Im sad you resorted to assumption, i actually went to catholic school and university 4. You're grammar correcting someone on Twitter... think about it","sadly,sad",Negative
451,"The one witness Republicans were permitted to call was Jonathan Turley, a professor at the George Washington University Law School.",NA,Neutral
452,"God has been so good to me in my football career! I wanna thank my Family, Coaches, Teammates, and God for this opportu","hilarious,good,thank",Positive
453,Congratulations to @OtteryStMaryCC u15s who won the Exeter University Indoor Cricket League after a seven week series,won,Positive
454,"Noah R. Feldman, a Harvard Law School professor, worked for Hillary Clintons 2016 election campaign, and Michael J. Gerhardt, a professor of constitutional law at the University of North Carolina at Chapel Hill, wrote up President Bill Clintons judicial selection policy.",worked,Positive
455,[Updated] Statement: Hong Kong Watch and Baroness Bennett call for urgent intervention to end siege of Hong Kongs Polytechni,"urgent,siege",Negative
456,@neilwalkerwrote Grand Magician Alexis Darn is a sassy little shit. Fortunately for him he's way too powerful and scary for anybody to call him out on it. Until an eleven-year-old orphan with blue magic comes along and is a little shit back. This is how families are made!,"scary,orphan,shit",Negative
457,Harvard Universitys denial of tenure to the only Latina professor on track for the status sparks student protests and calls from academic communities for the decision to be reversed.,"denial,protests",Negative
458,The evil professor from Stanford University,evil,Negative
459,Dont forget about the university pack giveaway! We'll be doing tours and drawing a winner on Monday the 9th!,"powerful,magic,winner",Positive
460,Did you know University Education is free in: Brazil Czech Republic Finland France Germany Greece Iceland Luxembourg Norway,free,Positive
461,"One of the first meanings had to do with abolition, but its a meaning that didnt stick, Edward Berenson, a history pr",NA,Neutral
462,"@RiegerReport Uhh, whats next retraining camps for all university profs?",NA,Neutral
463,@Coach_Odom Thanks for all you have done for the university. You are a class act guy. Wish you nothing but success in your next adventure. I'm sure you will be on the sideline again in no time.,success,Positive
464,@ybweaver @mrslape Waynesburg University this was awesome! #serviceleadershipandteaching,NA,Neutral
465,Blessed To Receive Another Division 1 offer from Sacred Heart University #WeAreSHU @Coach_Cooke52,NA,Neutral
466,"After a great home visit with Head Coach Nielsen and Coach Paopao, I would like to announce my commitment to the UNIVERSI","great,like,commitment",Positive
467,"The full story of the Hong Kong protests, and how a university fell under siege and went to war with police from @rosalindzadams","fell,siege",Negative
468,"Yes @Stanford @StanfordLaw - this professor represents the university! She should be removed! Not just her uncalled for attack on a minor, but her hate filled bias and poor interpretation of our constitution!","attack,hate,bias,poor",Negative
469,Wonderful news!! Go @arlanwashere!! #rolemodel Oxford University launches scholarship scheme for black Britons,NA,Neutral
470,Great thread discussing the recent ICE sting operation at the University of Farmington from an Indian national. Will @AO,sting,Negative
471,University Of Florida Official Visit this weekend #GatorGangXX,NA,Neutral
472,Im very thankful and happy to say I have received my 3rd D1 offer from Northern Arizona University. Thank you @E_Thompson92,"thankful,happy",Positive
473,Honored to receive a PWO from North Carolina Central University! Thank you @CoachJUANN,NA,Neutral
474,Happy founders day to my guys @dblcuppedwater @_StretchTheKidd @bigfish1906 &amp; the #BetaMu chapter of Kentucky State University!!,NA,Neutral
475,If anyone would like to call George Washington University and ask for Jonathan Turley termination call 202-994-1010 and,like,Positive
476,"""Gut public subsidy &amp; the elite colleges &amp; universities where much of the trouble happens will probably be fine. But the state schools, community colleges, &amp; regional centers of education for folks who arent rich or upper middle class will suffer for it.""",NA,Neutral
477,@mkraju @medit8now When Mr. Gohmert needs a lawyer I'm sure he'll look for a graduate from tRump University.,NA,Neutral
478,"Tonight I am teaching Marketing 571 at the University of Phoenix. In Workshop 5, we cover advertising. Students will create ad copy (text) for a familiar brand, and discuss how to place ads in different media. #marketing #advertising #advertise #ads #ad #deantripodes",NA,Neutral
479,I will be signing December 18th to the University of Houston #GoCoogs,NA,Neutral
480,"The University of Kansas @KUHoops was in the gym this afternoon, attending our high school team's practice. We appreciate","elite,rich,appreciate",Positive
481,I was hazed by Minister Stephen Lecce while I was pledging Sigma Chi at Western University and he was not only fraternity,NA,Neutral
482,"@SeekerOTL @JonathanFC229 The University and Graduate systems need to be reviewed for Political CORRUPTION. I don't see @Potus addressing this deep state recruiting funnel and CFR Conduit. @DanScavino Harvard, Columbia, loyola all of which Obama attended and no one knew him. AMER. U and Stanford too",NA,Neutral
483,So excited to recieve my first offer to play college football at Shenandoah University #GoHornets Thanks @CoachMitch_4 @,excited,Positive
484,Hello Harvard! You mean to say your $40 Billion endowment doesnt cover a decent workplace for student workers?I stand wi,decent,Positive
485,Monsters University is NOTHING like college. Completely false advertising. Im dropping out.,NA,Neutral
486,Did you know University Education is free in: Brazil Czech Republic Finland France Germany Greece Iceland Luxembourg Norway,"like,free",Positive
487,"A week ago we found out ICE had a fake university to entrap students, steal their money and deport them, but we will b","trouble,suffer,false,fake,entrap,steal",Negative
488,Stanford University folks have to be really disgusted tonight. Disgusted and embarrassed.,disgusted,Negative
489,After Fridays visit Im very honored and excited to announce that I am officially Committed to the University of Nebr,"honored,excited",Positive
490,Amornchai Laohapongchana Chulalongkorn University Because We Can Only Use Lines Just To,NA,Neutral
